2020-04-27 10:22:37,888:<module>:INFO:EUC at 165°E : Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-27 10:22:37,968:<module>:INFO:EUC at 170°W : Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-27 10:22:38,043:<module>:INFO:EUC at 140°W : Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-27 10:22:38,107:<module>:INFO:Vitiaz Strait: Mean: 6.8 Sv, Max: 9.5 Sv in Jul, Min: 5.0 Sv in Feb, El Nino: 7.6 Sv, La Nina: 5.7 Sv.
2020-04-27 10:22:38,172:<module>:INFO:St. George   : Mean: -0.3 Sv, Max: -0.7 Sv in Oct, Min: 0.1 Sv in Jul, El Nino: -0.2 Sv, La Nina: -0.4 Sv.
2020-04-27 10:22:38,233:<module>:INFO:Solomon      : Mean: 4.6 Sv, Max: 9.9 Sv in Jun, Min: 1.5 Sv in Nov, El Nino: 3.7 Sv, La Nina: 4.6 Sv.
2020-04-27 10:22:38,291:<module>:INFO:MC at 9N     : Mean: -19.1 Sv, Max: -20.2 Sv in Nov, Min: -17.9 Sv in Sep, El Nino: -19.8 Sv, La Nina: -17.8 Sv.
2020-04-27 10:22:38,350:<module>:INFO:MC at 6.4N   : Mean: -16.3 Sv, Max: -19.0 Sv in Jun, Min: -13.3 Sv in Jan, El Nino: -15.9 Sv, La Nina: -15.8 Sv.
2020-04-27 10:23:05,751:<module>:INFO:EUC at 165°E : Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min: 12.5 Sv in Nov, El Nino: 19.7 Sv, La Nina: 23.9 Sv.
2020-04-27 10:23:05,828:<module>:INFO:EUC at 170°W : Mean: 28.0 Sv, Max: 42.9 Sv in May, Min: 16.1 Sv in Sep, El Nino: 21.6 Sv, La Nina: 32.9 Sv.
2020-04-27 10:23:05,900:<module>:INFO:EUC at 140°W : Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min: 22.0 Sv in Aug, El Nino: 23.0 Sv, La Nina: 34.4 Sv.
2020-04-27 10:23:05,958:<module>:INFO:Vitiaz Strait: Mean: 6.8 Sv, Max: 9.5 Sv in Jul, Min: 5.0 Sv in Feb, El Nino: 7.6 Sv, La Nina: 5.7 Sv.
2020-04-27 10:23:06,016:<module>:INFO:St. George   : Mean: -0.3 Sv, Max: -0.7 Sv in Oct, Min: 0.1 Sv in Jul, El Nino: -0.2 Sv, La Nina: -0.4 Sv.
2020-04-27 10:23:06,075:<module>:INFO:Solomon      : Mean: 4.6 Sv, Max: 9.9 Sv in Jun, Min: 1.5 Sv in Nov, El Nino: 3.7 Sv, La Nina: 4.6 Sv.
2020-04-27 10:23:06,132:<module>:INFO:MC at 9N     : Mean: -19.1 Sv, Max: -20.2 Sv in Nov, Min: -17.9 Sv in Sep, El Nino: -19.8 Sv, La Nina: -17.8 Sv.
2020-04-27 10:23:06,192:<module>:INFO:MC at 6.4N   : Mean: -16.3 Sv, Max: -19.0 Sv in Jun, Min: -13.3 Sv in Jan, El Nino: -15.9 Sv, La Nina: -15.8 Sv.
2020-04-27 12:20:59,351:<module>:INFO:EUC at 165°E : Mean: 22.1 Sv, Max: 34.8 Sv in Jun, Min:  12.5 Sv in Nov, El Nino:  19.7 Sv, La Nina: 23.9 Sv.
2020-04-27 12:20:59,432:<module>:INFO:EUC at 170°W : Mean: 28.0 Sv, Max: 42.9 Sv in May, Min:  16.1 Sv in Sep, El Nino:  21.6 Sv, La Nina: 32.9 Sv.
2020-04-27 12:20:59,509:<module>:INFO:EUC at 140°W : Mean: 29.5 Sv, Max: 42.1 Sv in Apr, Min:  22.0 Sv in Aug, El Nino:  23.0 Sv, La Nina: 34.4 Sv.
